DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1/19/2015,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1338,1335,-3,0,-1,2103,2106,3,0,0,2556,,,,,
1,1/26/2015,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1338,1329,-9,0,-1,2103,2040,-23,0,-2,2556,,,,,
1,1/5/2015,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,911,-4,0,-1,1325,1330,5,0,0,2615,,,,,
1,1/12/2015,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,905,-10,0,-1,1335,1313,-22,0,-2,2615,,,,,
1,1/19/2015,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,916,1,0,0,1335,1323,-12,0,-1,2615,,,,,
1,1/26/2015,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,909,-6,0,-1,1335,1304,-31,0,-2,2615,,,,,
1,1/5/2015,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1455,1508,13,0,0,2225,2237,12,0,0,2615,,,,,
1,1/12/2015,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1505,1454,-11,0,-1,2233,2221,-12,0,-1,2615,,,,,
1,1/19/2015,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1505,1459,-6,0,-1,2233,2225,-8,0,-1,2615,,,,,
1,1/26/2015,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1505,1452,-13,0,-1,2233,2232,-1,0,-1,2615,,,,,
1,1/5/2015,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1845,2125,160,1,10,2250,117,147,1,9,2556,147,0,0,0,0
1,1/12/2015,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1850,1846,-4,0,-1,2258,2235,-23,0,-2,2556,,,,,
1,1/19/2015,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1850,1845,-5,0,-1,2258,2238,-20,0,-2,2556,,,,,
1,1/26/2015,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1850,1851,1,0,0,2258,2241,-17,0,-2,2556,,,,,
1,1/5/2015,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,825,816,-9,0,-1,1555,1534,-21,0,-2,2556,,,,,
1,1/12/2015,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,828,818,-10,0,-1,1555,1603,8,0,0,2556,,,,,
1,1/19/2015,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,828,839,11,0,0,1555,1600,5,0,0,2556,,,,,
1,1/26/2015,AA,270,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,828,828,0,0,0,1555,1559,4,0,0,2556,,,,,
1,1/5/2015,AA,271,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1105,1131,26,1,1,1457,1511,14,0,0,2486,,,,,
1,1/5/2015,AA,283,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1030,1030,0,0,0,1435,1419,-16,0,-2,2556,,,,,
1,1/5/2015,AA,284,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1605,1607,2,0,0,2335,2326,-9,0,-1,2556,,,,,
1,1/5/2015,AA,285,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,1725,1755,30,1,2,2130,2209,39,1,2,2615,22,0,9,0,8
1,1/5/2015,AA,286,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2300,2324,24,1,1,625,638,13,0,0,2615,,,,,
1,1/5/2015,AA,297,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1625,1800,95,1,6,2025,2152,87,1,5,2556,0,0,0,0,87
1,1/12/2015,AA,297,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1625,1625,0,0,0,2034,2033,-1,0,-1,2556,,,,,
1,1/19/2015,AA,297,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1625,1614,-11,0,-1,2034,2008,-26,0,-2,2556,,,,,
1,1/26/2015,AA,297,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1625,1625,0,0,0,2034,2014,-20,0,-2,2556,,,,,
1,1/5/2015,AA,298,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2155,2212,17,1,1,515,518,3,0,0,2556,,,,,
1,1/12/2015,AA,298,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2204,2157,-7,0,-1,520,505,-15,0,-1,2556,,,,,
1,1/19/2015,AA,298,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2204,2205,1,0,0,520,527,7,0,0,2556,,,,,
1,1/26/2015,AA,298,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2204,2154,-10,0,-1,520,455,-25,0,-2,2556,,,,,
1,1/5/2015,AA,212,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1627,1642,15,1,1,2335,2351,16,1,1,2486,1,0,1,0,14
1,1/5/2015,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2235,2232,-3,0,-1,545,539,-6,0,-1,2504,,,,,
1,1/12/2015,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2236,2232,-4,0,-1,540,523,-17,0,-2,2504,,,,,
1,1/19/2015,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2236,2225,-11,0,-1,540,534,-6,0,-1,2504,,,,,
1,1/26/2015,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2236,2224,-12,0,-1,540,543,3,0,0,2504,,,,,
1,1/5/2015,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1715,1712,-3,0,-1,2105,2101,-4,0,-1,2504,,,,,
