DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,12/22/2014,AA,123,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1055,1053,-2,0,-1,1525,1526,1,0,0,3784,,,,,
1,12/29/2014,AA,123,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1055,1100,5,0,0,1525,1523,-2,0,-1,3784,,,,,
1,12/1/2014,AA,58,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1415,1415,0,0,0,2125,2101,-24,0,-2,2504,,,,,
1,12/22/2014,AA,58,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1400,1410,10,0,0,2110,2119,9,0,0,2504,,,,,
1,12/29/2014,AA,58,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1400,1356,-4,0,-1,2110,2106,-4,0,-1,2504,,,,,
1,12/1/2014,AA,59,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,850,835,-15,0,-1,1245,1244,-1,0,-1,2504,,,,,
1,12/22/2014,AA,59,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,840,853,13,0,0,1230,1235,5,0,0,2504,,,,,
1,12/29/2014,AA,59,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,840,841,1,0,0,1230,1234,4,0,0,2504,,,,,
1,12/1/2014,AA,161,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1730,1723,-7,0,-1,2130,2149,19,1,1,2486,0,0,19,0,0
1,12/8/2014,AA,161,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1735,1739,4,0,0,2130,2116,-14,0,-1,2486,,,,,
1,12/15/2014,AA,161,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1735,1736,1,0,0,2130,2114,-16,0,-2,2486,,,,,
1,12/22/2014,AA,161,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1735,1730,-5,0,-1,2130,2117,-13,0,-1,2486,,,,,
1,12/29/2014,AA,161,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1735,1811,36,1,2,2130,2143,13,0,0,2486,,,,,
1,12/1/2014,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1340,1939,359,1,12,2110,227,317,1,12,2556,74,0,0,0,243
1,12/8/2014,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1340,1329,-11,0,-1,2110,2047,-23,0,-2,2556,,,,,
1,12/15/2014,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1340,1347,7,0,0,2110,2229,79,1,5,2556,0,0,72,0,7
1,12/22/2014,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1340,1334,-6,0,-1,2110,2107,-3,0,-1,2556,,,,,
1,12/29/2014,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1340,1325,-15,0,-1,2110,2142,32,1,2,2556,0,0,32,0,0
1,12/1/2014,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1910,1947,37,1,2,635,623,-12,0,-1,3784,,,,,
1,12/8/2014,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1920,548,628,1,12,645,1713,628,1,12,3784,191,0,0,0,437
1,12/15/2014,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1920,1918,-2,0,-1,645,646,1,0,0,3784,,,,,
1,12/22/2014,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1920,1932,12,0,0,645,632,-13,0,-1,3784,,,,,
1,12/29/2014,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1920,2317,237,1,12,645,1036,231,1,12,3784,0,0,0,0,231
1,12/29/2014,AA,246,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,2235,2227,-8,0,-1,545,531,-14,0,-1,2504,,,,,
1,12/1/2014,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1705,1715,10,0,0,2055,2125,30,1,2,2504,10,0,20,0,0
1,12/8/2014,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1715,1711,-4,0,-1,2105,2053,-12,0,-1,2504,,,,,
1,12/15/2014,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1715,1716,1,0,0,2105,2041,-24,0,-2,2504,,,,,
1,12/22/2014,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1715,1709,-6,0,-1,2105,2109,4,0,0,2504,,,,,
1,12/29/2014,AA,247,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,1715,1710,-5,0,-1,2105,2102,-3,0,-1,2504,,,,,
1,12/1/2014,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,905,924,19,1,1,1300,1318,18,1,1,2486,18,0,0,0,0
1,12/8/2014,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,855,-5,0,-1,1255,1240,-15,0,-1,2486,,,,,
1,12/15/2014,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,855,-5,0,-1,1255,1253,-2,0,-1,2486,,,,,
1,12/22/2014,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,915,15,1,1,1255,1310,15,1,1,2486,0,0,0,15,0
1,12/29/2014,AA,253,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,900,857,-3,0,-1,1255,1243,-12,0,-1,2486,,,,,
1,12/1/2014,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1430,1434,4,0,0,2150,2106,-44,0,-2,2486,,,,,
1,12/8/2014,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1425,1422,-3,0,-1,2145,2152,7,0,0,2486,,,,,
1,12/15/2014,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1425,1423,-2,0,-1,2145,2124,-21,0,-2,2486,,,,,
1,12/22/2014,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1450,1442,-8,0,-1,2210,2149,-21,0,-2,2486,,,,,
1,12/29/2014,AA,254,13830,1383002,33830,"Kahului, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1450,1502,12,0,0,2210,2212,2,0,0,2486,,,,,
1,12/1/2014,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,1043,88,1,5,1325,1454,89,1,5,2615,88,0,1,0,0
1,12/8/2014,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,909,-6,0,-1,1325,1257,-28,0,-2,2615,,,,,
1,12/15/2014,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,911,-4,0,-1,1325,1314,-11,0,-1,2615,,,,,
1,12/22/2014,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,916,1,0,0,1325,1321,-4,0,-1,2615,,,,,
1,12/29/2014,AA,265,12892,1289203,32575,"Los Angeles, CA",California,12982,1298202,32982,"Lihue, HI",Hawaii,915,915,0,0,0,1325,1318,-7,0,-1,2615,,,,,
1,12/1/2014,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1455,1612,77,1,5,2225,2301,36,1,2,2615,0,0,0,0,36
1,12/8/2014,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1455,1453,-2,0,-1,2225,2222,-3,0,-1,2615,,,,,
1,12/15/2014,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1455,1524,29,1,1,2225,2252,27,1,1,2615,27,0,0,0,0
1,12/22/2014,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1455,1452,-3,0,-1,2225,2207,-18,0,-2,2615,,,,,
1,12/29/2014,AA,266,12982,1298202,32982,"Lihue, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1455,1452,-3,0,-1,2225,2247,22,1,1,2615,0,0,22,0,0
1,12/1/2014,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1845,1853,8,0,0,2250,2304,14,0,0,2556,,,,,
1,12/8/2014,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1845,1847,2,0,0,2250,2225,-25,0,-2,2556,,,,,
1,12/15/2014,AA,267,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1845,1837,-8,0,-1,2250,2228,-22,0,-2,2556,,,,,
